Question,Answer
The shortcut Ctrl+Shift+P opens the Quick Open feature.,False
Closing a window or instance can be done using Ctrl+Shift+W.,True
"To insert a line above the current line, the shortcut is Ctrl+Enter.",False
The shortcut to go to the end of the file is Ctrl+End.,True
"To trigger parameter hints, use Ctrl+Shift+Space.",True
Which shortcut is used to 'Toggle line comment'?,2
What does the shortcut Ctrl+Shift+O do?,2
What is the function of the shortcut Ctrl+Shift+M?,3
Which key combination is used to 'Format document'?,1
"To reopen a closed editor, the shortcut is:",0
